fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,7
8.9,0.38,0.4,2.2,0.068,12,28,0.99486,3.27,0.75,12.6,7
11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,7
8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6,7
8.3,0.3,0.49,3.8,0.09,11,24,0.99498,3.27,0.64,12.1,7
7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,7
10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,7
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7
8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,7
7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7
9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,7
9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1,7
15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,7
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
8.6,0.22,0.36,1.9,0.064,53,77,0.99604,3.47,0.87,11,7
7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,7
9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,7
7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2,7
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7
7.2,0.38,0.31,2,0.056,15,29,0.99472,3.23,0.76,11.3,8
9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,7
9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,7
7.3,0.34,0.33,2.5,0.064,21,37,0.9952,3.35,0.77,12.1,7
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6,7
6.6,0.52,0.08,2.4,0.07,13,26,0.99358,3.4,0.72,12.5,7
8,0.31,0.45,2.1,0.216,5,16,0.99358,3.15,0.81,12.5,7
7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8
9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8,7
7,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,7
7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,7
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7
7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,7
5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,7
7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7
7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7
5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,8
6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,7
11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,7
7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,7
8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,7
8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,7
6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7,7
6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,7
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7
7.2,0.48,0.07,5.5,0.089,10,18,0.99684,3.37,0.68,11.2,7
7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7
9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,7
8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,7
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8
9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,7
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7
6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7
7.9,0.2,0.35,1.7,0.054,7,15,0.99458,3.32,0.8,11.9,7
8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,8
7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7
11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,7
8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3,7
8.9,0.35,0.4,3.6,0.11,12,24,0.99549,3.23,0.7,12,7
10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,7
7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7
9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,7
9,0.38,0.41,2.4,0.103,6,10,0.99604,3.13,0.58,11.9,7
10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,7
7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,7
8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,7
9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,7
9.6,0.33,0.52,2.2,0.074,13,25,0.99509,3.36,0.76,12.4,7
7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7
5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,7
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7
7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1,8
9.4,0.395,0.46,4.6,0.094,3,10,0.99639,3.27,0.64,12.2,7
7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,7
7.8,0.32,0.44,2.7,0.104,8,17,0.99732,3.33,0.78,11,7
7.2,0.33,0.33,1.7,0.061,3,13,0.996,3.23,1.1,10,8
11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,7
12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,7
8.7,0.33,0.38,3.3,0.063,10,19,0.99468,3.3,0.73,12,7
9.8,0.34,0.39,1.4,0.066,3,7,0.9947,3.19,0.55,11.4,7
10.1,0.37,0.34,2.4,0.085,5,17,0.99683,3.17,0.65,10.6,7
11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7
10,0.26,0.54,1.9,0.083,42,74,0.99451,2.98,0.63,11.8,8
13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,7
10.1,0.38,0.5,2.4,0.104,6,13,0.99643,3.22,0.65,11.6,7
11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,7
9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,7
8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,7
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8
7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,7
9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,5
10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,6
8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5
5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6
6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9,6
6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,5
6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,6
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6
7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,6
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5
8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2,5
7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5
6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,4
9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,5
9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,6
7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,5
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5
7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5
6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,5
10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,6
6.7,0.67,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9,6
9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,6
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6
7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5
8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5
15.6,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5
9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,6
9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,5
7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,6
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6
12.3,0.27,0.49,3.1,0.079,28,46,0.9993,3.2,0.8,10.2,6
9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,5
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.06666667,6
7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,5
6.2,0.46,0.17,1.6,0.073,7,11,0.99425,3.61,0.54,11.4,5
9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,5
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,6
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6
6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3,6
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6
6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,6
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6
9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,4
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5
11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,6
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6
5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,6
11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,5
7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,6
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5
9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,5
12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,6
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6
7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,6
5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6
7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6
6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,5
7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,3
11.1,0.44,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4,6
8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,4
9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5
10,0.46,0.44,2.9,0.065,4,8,0.99674,3.33,0.62,12.2,6
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5
8.9,0.32,0.31,2,0.088,12,19,0.9957,3.17,0.55,10.4,6
6.2,0.46,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8,5
6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,6
7.1,0.69,0.08,2.1,0.063,42,52,0.99608,3.42,0.6,10.2,6
9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,5
10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,6
6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8,6
8.5,0.46,0.59,1.4,0.414,16,45,0.99702,3.03,1.34,9.2,5
7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6
9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,5
7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6
7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,5
11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.03333333,6
7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5
7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5
7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,6
7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6,6
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5
6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,5
7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6
7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6
7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,5
8.4,0.29,0.4,1.7,0.067,8,20,0.99603,3.39,0.6,10.5,5
7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5,6
5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,5
13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,5
8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,5
7.4,0.35,0.33,2.4,0.068,9,26,0.9947,3.36,0.6,11.9,6
6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,4
7.3,0.735,0,2.2,0.08,18,28,0.99765,3.41,0.6,9.4,5
10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,5
6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6
9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2,6
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5
7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,6
